1,139.73
2,111.6
3,103.61
4,95.58
5,80.81
6,74.83
7,30
8,-50
9,-45.01
10,6.36
11,6.76
12,15.15
13,22
14,30
15,31
16,51.24
17,65.55
18,74
19,156.42
20,151.08
21,145.16
22,87.49
23,99.19
24,104.32
25,88
26,80.6
27,74.43
28,75.32
29,76.98
30,101.07
31,57.77
32,7.96
33,42.62
34,18.97
35,21
36,-17.36
37,21
38,53.73
39,-0.02
40,31
41,61.73
42,71.3
43,145.01
44,183.23
45,182.97
46,126.16
47,133.43
48,118.1
49,99.63
50,98.3
51,78.35
52,89.13
53,100.44
54,101.5
55,73.53
56,29.62
57,30
58,21
59,17.41
60,22.95
61,31
62,53.73
63,58.34
64,53.73
65,30
66,85.22
67,109
68,197
69,139.8
70,99.19
71,167.35
72,108.11
73,108.83
74,88
75,86.17
76,75.77
77,103.75
78,104.02
79,75
80,30
81,53.73
82,-0.02
83,30
84,30
85,-0.02
86,76.17
87,88
88,436
89,194.49
90,197
91,145.16
92,194.49
93,197
94,194.53
95,162.3
96,110.41
97,119.5
98,106.56
99,87.52
100,84.86
101,76.86
102,98.53
103,87.49
104,79.01
105,61.73
106,75
107,84.91
108,71.95
109,73.53
110,73.53
111,79.65
112,73.53
113,89
114,89
115,98.53
116,98.53
117,98.53
118,83.27
119,89.7
120,111.14
121,87.07
122,74
123,74.57
124,69
125,74.63
126,75.33
127,66.72
128,30
129,22
130,22
131,27.06
132,14.5
133,21
134,-0.84
135,53.73
136,3.72
137,74
138,74
139,126.16
140,147.75
141,134.25
142,109.34
143,119.39
144,89
145,103.44
146,75
147,74
148,69.15
149,74
150,75.67
151,29.62
152,-56.16
153,-48.43
154,-2.01
155,-19.64
156,-28.1
157,-49.66
158,-19.39
159,21
160,20.04
161,63.7
162,75
163,94.38
164,139.5
165,123.28
166,102.5
167,98.53
168,89
169,87.5
170,39.94
171,83.68
172,83.52
173,87.5
174,89
175,53.73
176,-50
177,-49.5
178,-57.66
179,-64.8
180,-54.48
181,-55.28
182,-2.01
183,20.66
184,14.35
185,53.73
186,77.53
187,139.43
188,332.92
189,145.01
190,133.92
191,144.53
192,109
193,128.38
194,101.23
195,129.3
196,129.53
197,153.02
198,113.78
199,78.25
200,61.73
201,76.65
202,60.5
203,19.37
204,36.57
205,26.71
206,64.78
207,35.53
208,96.18
209,89.25
210,139.5
211,194.39
212,235.95
213,145.01
214,118.59
215,139.5
216,135
217,122.2
218,109
219,89
220,102.37
221,136
222,121.7
223,75
224,75
225,95.3
226,88
227,22
228,25.44
229,23.62
230,74
231,152.54
232,69.32
233,88.69
234,104.88
235,128.42
236,140.28
237,236
238,109
239,106.95
240,96.55
241,90.16
242,98.53
243,87.35
244,87.13
245,103.4
246,113.63
247,88
248,90.19
249,77.44
250,106.83
251,81.83
252,31.5
253,81.34
254,88
255,110.66
256,87.1
257,89
258,145.01
259,192.5
260,249.81
261,172.71
262,121.93
263,124.26
264,109
265,126.06
266,121.69
267,115.64
268,111.02
269,120.59
270,122.74
271,111.06
272,108.59
